course_title,course_difficulty,course_url,course_skills
(ISC)² Systems Security Certified Practitioner (SSCP),Beginner,https://www.coursera.org/specializations/sscp-training,"['Risk Management', 'Access Control', 'Asset', 'Incident Detection and Response', 'Cloud Computing Security', 'Wireless Security', 'Security Software']"
.NET FullStack Developer,Intermediate,https://www.coursera.org/specializations/dot-net-fullstack,"['Web API', 'Web Development', 'Cascading Style Sheets (CSS)', 'HTML', 'React (Web Framework)', 'RESTful APIs', 'C# programming', 'API Integration', 'Model–View–Controller (MVC)', 'asp.net']"
21st Century Energy Transition: how do we make it work?,Beginner,https://www.coursera.org/learn/21st-century-energy-transition,[]
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,Intermediate,https://www.coursera.org/learn/crash-course-in-causality,"['Instrumental Variable', 'Propensity Score Matching', 'Causal Inference', 'Causality']"
A life with ADHD,Beginner,https://www.coursera.org/learn/life-with-adhd,"['differential diagnosis and comorbidities', 'symptoms assessment', 'accomodation', 'Neuroscience', 'intervention']"
AI & Law,Beginner,https://www.coursera.org/learn/ai-law,[]
AI Applications in Marketing and Finance,Mixed,https://www.coursera.org/learn/wharton-ai-applications-marketing-finance,[]
AI Applications in People Management,Mixed,https://www.coursera.org/learn/wharton-ai-applications-people-management,[]
AI For Business,Beginner,https://www.coursera.org/specializations/ai-for-business-wharton,"['Artificial Intelligence (AI)', 'Machine Learning', 'Management', 'Analytics', 'Fraud Prevention']"
AI For Everyone,Beginner,https://www.coursera.org/learn/ai-for-everyone,"['Workflow of Machine Learning projects', 'AI terminology', 'AI strategy', 'Workflow of Data Science projects']"
AI For Everyone （すべての人のためのAIリテラシー講座）,Beginner,https://www.coursera.org/learn/ai-for-everyone-ja,[]
AI Foundations for Everyone,Beginner,https://www.coursera.org/specializations/ai-foundations-for-everyone,"['Data Science', 'Deep Learning', 'Artificial Intelligence (AI)', 'Machine Learning', 'Watson (Computer)']"
AI Foundations: Prompt Engineering with ChatGPT,Beginner,https://www.coursera.org/learn/ai-foundations-prompt-engineering-with-chatgpt,[]
AI Fundamentals for Non-Data Scientists,Mixed,https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists,[]
AI Product Management,Beginner,https://www.coursera.org/specializations/ai-product-management-duke,"['Data Science', 'Predictive Modelling', 'Artificial Neural Network', 'Ethics', 'Artificial Intelligence (AI)', 'Machine Learning', 'Product Management', 'product design', 'User Experience (UX)', 'Modeling', 'Privacy', 'Project Management']"
AI Strategy and Governance,Beginner,https://www.coursera.org/learn/wharton-ai-strategy-governance,[]
AI and Climate Change,Beginner,https://www.coursera.org/learn/ai-and-climate-change,"['AI for Good project framework', 'Biodiversity Monitoring', 'Supervised Learning', 'Computer Vision', 'Wind Power Generation Modeling']"
AI and Public Health,Beginner,https://www.coursera.org/learn/ai-and-public-health,"['Air Quality Monitoring', 'AI for Good project framework', 'Jupyter notebooks', 'Supervised Learning', 'Exploratory Data Analysis']"
